Resolution,Datetime,Price
10MIN,2021-11-03 12:00:00,74.3
10MIN,2021-11-03 12:10:00,74.775
10MIN,2021-11-03 12:20:00,74.25
10MIN,2021-11-03 12:30:00,74.025
10MIN,2021-11-03 12:40:00,73.775
10MIN,2021-11-03 12:50:00,73.85
10MIN,2021-11-03 13:00:00,74.5
10MIN,2021-11-03 13:10:00,74.5
10MIN,2021-11-03 13:20:00,75.85
10MIN,2021-11-03 13:30:00,76.45
10MIN,2021-11-03 13:40:00,77.65
10MIN,2021-11-03 13:50:00,78
10MIN,2021-11-03 14:00:00,75.5
10MIN,2021-11-03 14:10:00,76
10MIN,2021-11-03 14:20:00,76.5
10MIN,2021-11-03 14:30:00,75.9
10MIN,2021-11-03 14:40:00,76.25
10MIN,2021-11-03 14:50:00,76.25
10MIN,2021-11-03 15:00:00,76.1
10MIN,2021-11-03 15:10:00,76.95
10MIN,2021-11-03 15:20:00,76
10MIN,2021-11-03 15:30:00,76.65
10MIN,2021-11-03 15:40:00,76.55
10MIN,2021-11-03 15:50:00,76.6
10MIN,2021-11-03 16:00:00,75.625
10MIN,2021-11-03 16:10:00,76.85
10MIN,2021-11-03 16:20:00,78.4
10MIN,2021-11-03 16:30:00,78
10MIN,2021-11-03 16:40:00,77.75
10MIN,2021-11-03 16:50:00,78.475
10MIN,2021-11-04 07:00:00,75.9
10MIN,2021-11-04 07:10:00,NULL
10MIN,2021-11-04 07:20:00,75.9
10MIN,2021-11-04 07:30:00,76
10MIN,2021-11-04 07:40:00,74.125
10MIN,2021-11-04 07:50:00,75.5
10MIN,2021-11-04 08:00:00,76.75
10MIN,2021-11-04 08:10:00,78.7
10MIN,2021-11-04 08:20:00,NULL
10MIN,2021-11-04 08:30:00,78.55
10MIN,2021-11-04 08:40:00,78.825
10MIN,2021-11-04 08:50:00,78.3
10MIN,2021-11-04 09:00:00,78.1
10MIN,2021-11-04 09:10:00,77.55
10MIN,2021-11-04 09:20:00,76.5
10MIN,2021-11-04 09:30:00,76.825
10MIN,2021-11-04 09:40:00,77
10MIN,2021-11-04 09:50:00,77.2
10MIN,2021-11-04 10:00:00,77.25
10MIN,2021-11-04 10:10:00,77.275
10MIN,2021-11-04 10:20:00,76.6
10MIN,2021-11-04 10:30:00,76.7
10MIN,2021-11-04 10:40:00,76.825
10MIN,2021-11-04 10:50:00,76.925
10MIN,2021-11-04 11:00:00,76.7
10MIN,2021-11-04 11:10:00,76.1
10MIN,2021-11-04 11:20:00,76
10MIN,2021-11-04 11:30:00,75.5
10MIN,2021-11-04 11:40:00,75.45
10MIN,2021-11-04 11:50:00,75.35
10MIN,2021-11-04 12:00:00,75.575
10MIN,2021-11-04 12:10:00,74
10MIN,2021-11-04 12:20:00,72.5
10MIN,2021-11-04 12:30:00,73.975
10MIN,2021-11-04 12:40:00,73.9
10MIN,2021-11-04 12:50:00,73.575
10MIN,2021-11-04 13:00:00,74.35
10MIN,2021-11-04 13:10:00,74
10MIN,2021-11-04 13:20:00,73.3
10MIN,2021-11-04 13:30:00,73.1
10MIN,2021-11-04 13:40:00,73.4
10MIN,2021-11-04 13:50:00,73.375
10MIN,2021-11-04 14:00:00,72
10MIN,2021-11-04 14:10:00,72.925
10MIN,2021-11-04 14:20:00,74.125
10MIN,2021-11-04 14:30:00,74.35
10MIN,2021-11-04 14:40:00,74.5
10MIN,2021-11-04 14:50:00,74.65
10MIN,2021-11-04 15:00:00,74.55
10MIN,2021-11-04 15:10:00,74.6
10MIN,2021-11-04 15:20:00,74.825
10MIN,2021-11-04 15:30:00,73.15
10MIN,2021-11-04 15:40:00,72.675
10MIN,2021-11-04 15:50:00,72.8
10MIN,2021-11-04 16:00:00,72.925
10MIN,2021-11-04 16:10:00,71.5
10MIN,2021-11-04 16:20:00,72.575
10MIN,2021-11-04 16:30:00,71.725
10MIN,2021-11-04 16:40:00,72
10MIN,2021-11-04 16:50:00,72.225
10MIN,2021-11-05 07:00:00,NULL
10MIN,2021-11-05 07:10:00,NULL
10MIN,2021-11-05 07:20:00,NULL
10MIN,2021-11-05 07:30:00,NULL
10MIN,2021-11-05 07:40:00,NULL
10MIN,2021-11-05 07:50:00,NULL
10MIN,2021-11-05 08:00:00,75.5
10MIN,2021-11-05 08:10:00,76
10MIN,2021-11-05 08:20:00,76.2
10MIN,2021-11-05 08:30:00,76.425
10MIN,2021-11-05 08:40:00,75.8
10MIN,2021-11-05 08:50:00,75.8
10MIN,2021-11-05 09:00:00,75.75
10MIN,2021-11-05 09:10:00,75.6
10MIN,2021-11-05 09:20:00,75.2
10MIN,2021-11-05 09:30:00,73.5
10MIN,2021-11-05 09:40:00,73.65
10MIN,2021-11-05 09:50:00,73.775
10MIN,2021-11-05 10:00:00,73
10MIN,2021-11-05 10:10:00,72.8
10MIN,2021-11-05 10:20:00,73.15
10MIN,2021-11-05 10:30:00,73.3
10MIN,2021-11-05 10:40:00,73.3
10MIN,2021-11-05 10:50:00,73.3
10MIN,2021-11-05 11:00:00,73.325
10MIN,2021-11-05 11:10:00,73.3
10MIN,2021-11-05 11:20:00,73
10MIN,2021-11-05 11:30:00,72.8
10MIN,2021-11-05 11:40:00,73.025
10MIN,2021-11-05 11:50:00,73
10MIN,2021-11-05 12:00:00,72.8
10MIN,2021-11-05 12:10:00,72.525
10MIN,2021-11-05 12:20:00,71.5
10MIN,2021-11-05 12:30:00,71.8
10MIN,2021-11-05 12:40:00,71.7
10MIN,2021-11-05 12:50:00,71.55
10MIN,2021-11-05 13:00:00,72.2
10MIN,2021-11-05 13:10:00,72.4
10MIN,2021-11-05 13:20:00,72.275
10MIN,2021-11-05 13:30:00,71.95
10MIN,2021-11-05 13:40:00,72
10MIN,2021-11-05 13:50:00,71.975
10MIN,2021-11-05 14:00:00,72.1
10MIN,2021-11-05 14:10:00,72.125
10MIN,2021-11-05 14:20:00,72.1
10MIN,2021-11-05 14:30:00,72.05
10MIN,2021-11-05 14:40:00,72.475
10MIN,2021-11-05 14:50:00,72.625
10MIN,2021-11-05 15:00:00,74
10MIN,2021-11-05 15:10:00,73.65
10MIN,2021-11-05 15:20:00,72.75
10MIN,2021-11-05 15:30:00,73.5
10MIN,2021-11-05 15:40:00,73.225
10MIN,2021-11-05 15:50:00,73
10MIN,2021-11-05 16:00:00,72.6
10MIN,2021-11-05 16:10:00,73.325
10MIN,2021-11-05 16:20:00,73.2
10MIN,2021-11-05 16:30:00,72.3
10MIN,2021-11-05 16:40:00,72.5
10MIN,2021-11-05 16:50:00,72.65
10MIN,2021-11-08 07:00:00,NULL
10MIN,2021-11-08 07:10:00,78
10MIN,2021-11-08 07:20:00,78.475
10MIN,2021-11-08 07:30:00,79.8
10MIN,2021-11-08 07:40:00,80
10MIN,2021-11-08 07:50:00,NULL
10MIN,2021-11-08 08:00:00,79.5
10MIN,2021-11-08 08:10:00,NULL
10MIN,2021-11-08 08:20:00,78.5
10MIN,2021-11-08 08:30:00,79.9
10MIN,2021-11-08 08:40:00,79
10MIN,2021-11-08 08:50:00,78.5
10MIN,2021-11-08 09:00:00,78.2
10MIN,2021-11-08 09:10:00,76.675
10MIN,2021-11-08 09:20:00,77.525
10MIN,2021-11-08 09:30:00,76.925
10MIN,2021-11-08 09:40:00,75.75
10MIN,2021-11-08 09:50:00,75.8
10MIN,2021-11-08 10:00:00,75.55
10MIN,2021-11-08 10:10:00,76.25
10MIN,2021-11-08 10:20:00,77.025
10MIN,2021-11-08 10:30:00,76.75
10MIN,2021-11-08 10:40:00,76.625
10MIN,2021-11-08 10:50:00,76.5
10MIN,2021-11-08 11:00:00,76.2
10MIN,2021-11-08 11:10:00,76.25
10MIN,2021-11-08 11:20:00,76
10MIN,2021-11-08 11:30:00,76.25
10MIN,2021-11-08 11:40:00,76.3
10MIN,2021-11-08 11:50:00,76
10MIN,2021-11-08 12:00:00,76
10MIN,2021-11-08 12:10:00,76
10MIN,2021-11-08 12:20:00,75.875
10MIN,2021-11-08 12:30:00,75.675
10MIN,2021-11-08 12:40:00,75.7
10MIN,2021-11-08 12:50:00,75.8
10MIN,2021-11-08 13:00:00,76.05
10MIN,2021-11-08 13:10:00,76.275
10MIN,2021-11-08 13:20:00,76
10MIN,2021-11-08 13:30:00,76.75
10MIN,2021-11-08 13:40:00,76.775
10MIN,2021-11-08 13:50:00,76.5
10MIN,2021-11-08 14:00:00,76.5
10MIN,2021-11-08 14:10:00,76.65
10MIN,2021-11-08 14:20:00,76.75
10MIN,2021-11-08 14:30:00,77.65
10MIN,2021-11-08 14:40:00,78.15
10MIN,2021-11-08 14:50:00,78.5
10MIN,2021-11-08 15:00:00,78.2
10MIN,2021-11-08 15:10:00,78.4
10MIN,2021-11-08 15:20:00,78.1
10MIN,2021-11-08 15:30:00,77.7
10MIN,2021-11-08 15:40:00,77
10MIN,2021-11-08 15:50:00,77.35
10MIN,2021-11-08 16:00:00,78.85
10MIN,2021-11-08 16:10:00,78.3
10MIN,2021-11-08 16:20:00,77.1
10MIN,2021-11-08 16:30:00,77.15
10MIN,2021-11-08 16:40:00,77.175
10MIN,2021-11-08 16:50:00,77.45
10MIN,2021-11-09 07:00:00,NULL
10MIN,2021-11-09 07:10:00,NULL
10MIN,2021-11-09 07:20:00,75
10MIN,2021-11-09 07:30:00,75
10MIN,2021-11-09 07:40:00,74
10MIN,2021-11-09 07:50:00,75.25
10MIN,2021-11-09 08:00:00,76
10MIN,2021-11-09 08:10:00,76
10MIN,2021-11-09 08:20:00,76.3
10MIN,2021-11-09 08:30:00,76
10MIN,2021-11-09 08:40:00,75.65
10MIN,2021-11-09 08:50:00,75.85
10MIN,2021-11-09 09:00:00,75.95
10MIN,2021-11-09 09:10:00,76.025
10MIN,2021-11-09 09:20:00,75.675
10MIN,2021-11-09 09:30:00,75.525
10MIN,2021-11-09 09:40:00,75.5
10MIN,2021-11-09 09:50:00,75.9
10MIN,2021-11-09 10:00:00,75.9
10MIN,2021-11-09 10:10:00,76.55
10MIN,2021-11-09 10:20:00,76.475
10MIN,2021-11-09 10:30:00,76.75
10MIN,2021-11-09 10:40:00,77
10MIN,2021-11-09 10:50:00,77.125
10MIN,2021-11-09 11:00:00,77
10MIN,2021-11-09 11:10:00,76.8
10MIN,2021-11-09 11:20:00,76.5
10MIN,2021-11-09 11:30:00,76.9
10MIN,2021-11-09 11:40:00,77.1
10MIN,2021-11-09 11:50:00,76.75
10MIN,2021-11-09 12:00:00,76.15
10MIN,2021-11-09 12:10:00,76.225
10MIN,2021-11-09 12:20:00,76.25
10MIN,2021-11-09 12:30:00,76.15
10MIN,2021-11-09 12:40:00,76
10MIN,2021-11-09 12:50:00,76
10MIN,2021-11-09 13:00:00,76.2
10MIN,2021-11-09 13:10:00,76.175
10MIN,2021-11-09 13:20:00,76.2
10MIN,2021-11-09 13:30:00,75.85
10MIN,2021-11-09 13:40:00,75.575
10MIN,2021-11-09 13:50:00,75.65
10MIN,2021-11-09 14:00:00,75.25
10MIN,2021-11-09 14:10:00,74.575
10MIN,2021-11-09 14:20:00,74.85
10MIN,2021-11-09 14:30:00,74.4
10MIN,2021-11-09 14:40:00,73.975
10MIN,2021-11-09 14:50:00,73.625
10MIN,2021-11-09 15:00:00,74.2
10MIN,2021-11-09 15:10:00,74.15
10MIN,2021-11-09 15:20:00,74.6
10MIN,2021-11-09 15:30:00,74.975
10MIN,2021-11-09 15:40:00,74.625
10MIN,2021-11-09 15:50:00,73.375
10MIN,2021-11-09 16:00:00,72.5
10MIN,2021-11-09 16:10:00,72.575
10MIN,2021-11-09 16:20:00,70.825
10MIN,2021-11-09 16:30:00,70.45
10MIN,2021-11-09 16:40:00,71
10MIN,2021-11-09 16:50:00,70.4
10MIN,2021-11-10 07:00:00,NULL
10MIN,2021-11-10 07:10:00,NULL
10MIN,2021-11-10 07:20:00,66.1
10MIN,2021-11-10 07:30:00,67
10MIN,2021-11-10 07:40:00,67.5
10MIN,2021-11-10 07:50:00,66.5
10MIN,2021-11-10 08:00:00,67.5
10MIN,2021-11-10 08:10:00,66.2
10MIN,2021-11-10 08:20:00,67.675
10MIN,2021-11-10 08:30:00,67.675
10MIN,2021-11-10 08:40:00,67.75
10MIN,2021-11-10 08:50:00,67.45
10MIN,2021-11-10 09:00:00,67.175
10MIN,2021-11-10 09:10:00,67.45
10MIN,2021-11-10 09:20:00,67
10MIN,2021-11-10 09:30:00,66.95
10MIN,2021-11-10 09:40:00,66.325
10MIN,2021-11-10 09:50:00,65.8
10MIN,2021-11-10 10:00:00,66.025
10MIN,2021-11-10 10:10:00,65.95
10MIN,2021-11-10 10:20:00,65.875
10MIN,2021-11-10 10:30:00,65.575
10MIN,2021-11-10 10:40:00,65.3
10MIN,2021-11-10 10:50:00,64.85
10MIN,2021-11-10 11:00:00,63.525
10MIN,2021-11-10 11:10:00,63.1
10MIN,2021-11-10 11:20:00,63.425
10MIN,2021-11-10 11:30:00,63.475
10MIN,2021-11-10 11:40:00,63.7
10MIN,2021-11-10 11:50:00,64.5
10MIN,2021-11-10 12:00:00,65.025
10MIN,2021-11-10 12:10:00,65
10MIN,2021-11-10 12:20:00,65.25
10MIN,2021-11-10 12:30:00,64.875
10MIN,2021-11-10 12:40:00,65.35
10MIN,2021-11-10 12:50:00,65.825
10MIN,2021-11-10 13:00:00,66.5
10MIN,2021-11-10 13:10:00,66.525
10MIN,2021-11-10 13:20:00,66.1
10MIN,2021-11-10 13:30:00,66.425
10MIN,2021-11-10 13:40:00,66.05
10MIN,2021-11-10 13:50:00,66
10MIN,2021-11-10 14:00:00,65.9
10MIN,2021-11-10 14:10:00,66.3
10MIN,2021-11-10 14:20:00,66.875
10MIN,2021-11-10 14:30:00,67
10MIN,2021-11-10 14:40:00,67.3
10MIN,2021-11-10 14:50:00,68.1
10MIN,2021-11-10 15:00:00,67.9
10MIN,2021-11-10 15:10:00,67.975
10MIN,2021-11-10 15:20:00,67.425
10MIN,2021-11-10 15:30:00,68.35
10MIN,2021-11-10 15:40:00,68.725
10MIN,2021-11-10 15:50:00,67.525
10MIN,2021-11-10 16:00:00,69.4
10MIN,2021-11-10 16:10:00,69.35
10MIN,2021-11-10 16:20:00,70
10MIN,2021-11-10 16:30:00,70.175
10MIN,2021-11-10 16:40:00,70.2
10MIN,2021-11-10 16:50:00,70.475
10MIN,2021-11-11 07:00:00,NULL
10MIN,2021-11-11 07:10:00,NULL
10MIN,2021-11-11 07:20:00,72.25
10MIN,2021-11-11 07:30:00,NULL
10MIN,2021-11-11 07:40:00,NULL
10MIN,2021-11-11 07:50:00,NULL
10MIN,2021-11-11 08:00:00,71.25
10MIN,2021-11-11 08:10:00,71.5
10MIN,2021-11-11 08:20:00,71.75
10MIN,2021-11-11 08:30:00,71.9
10MIN,2021-11-11 08:40:00,70.675
10MIN,2021-11-11 08:50:00,70.425
10MIN,2021-11-11 09:00:00,69.175
10MIN,2021-11-11 09:10:00,69.65
10MIN,2021-11-11 09:20:00,69.75
10MIN,2021-11-11 09:30:00,69.275
10MIN,2021-11-11 09:40:00,69.5
10MIN,2021-11-11 09:50:00,69.7
10MIN,2021-11-11 10:00:00,71.225
10MIN,2021-11-11 10:10:00,69.9
10MIN,2021-11-11 10:20:00,70.5
10MIN,2021-11-11 10:30:00,70.45
10MIN,2021-11-11 10:40:00,70.475
10MIN,2021-11-11 10:50:00,70.75
10MIN,2021-11-11 11:00:00,70.625
10MIN,2021-11-11 11:10:00,70.55
10MIN,2021-11-11 11:20:00,70.55
10MIN,2021-11-11 11:30:00,70.725
10MIN,2021-11-11 11:40:00,71.15
10MIN,2021-11-11 11:50:00,71
10MIN,2021-11-11 12:00:00,70.85
10MIN,2021-11-11 12:10:00,70.875
10MIN,2021-11-11 12:20:00,70.875
10MIN,2021-11-11 12:30:00,70.875
10MIN,2021-11-11 12:40:00,71.35
10MIN,2021-11-11 12:50:00,72
10MIN,2021-11-11 13:00:00,71.75
10MIN,2021-11-11 13:10:00,72.05
10MIN,2021-11-11 13:20:00,72.5
10MIN,2021-11-11 13:30:00,72.6
10MIN,2021-11-11 13:40:00,72.625
10MIN,2021-11-11 13:50:00,72.25
10MIN,2021-11-11 14:00:00,71.825
10MIN,2021-11-11 14:10:00,71.6
10MIN,2021-11-11 14:20:00,71.075
10MIN,2021-11-11 14:30:00,71.225
10MIN,2021-11-11 14:40:00,71.425
10MIN,2021-11-11 14:50:00,72
10MIN,2021-11-11 15:00:00,72.6
10MIN,2021-11-11 15:10:00,72.325
10MIN,2021-11-11 15:20:00,73
10MIN,2021-11-11 15:30:00,72.8
10MIN,2021-11-11 15:40:00,72.575
10MIN,2021-11-11 15:50:00,72.7
10MIN,2021-11-11 16:00:00,74.3
10MIN,2021-11-11 16:10:00,73.575
10MIN,2021-11-11 16:20:00,74
10MIN,2021-11-11 16:30:00,74.25
10MIN,2021-11-11 16:40:00,74.5
10MIN,2021-11-11 16:50:00,74.975
10MIN,2021-11-12 07:00:00,NULL
10MIN,2021-11-12 07:10:00,79.3
10MIN,2021-11-12 07:20:00,NULL
10MIN,2021-11-12 07:30:00,NULL
10MIN,2021-11-12 07:40:00,77.5
10MIN,2021-11-12 07:50:00,77.45
10MIN,2021-11-12 08:00:00,76.4
10MIN,2021-11-12 08:10:00,NULL
10MIN,2021-11-12 08:20:00,76.725
10MIN,2021-11-12 08:30:00,76.6
10MIN,2021-11-12 08:40:00,76.9
10MIN,2021-11-12 08:50:00,76.75
10MIN,2021-11-12 09:00:00,77.275
10MIN,2021-11-12 09:10:00,76.45
10MIN,2021-11-12 09:20:00,76.45
10MIN,2021-11-12 09:30:00,75.4
10MIN,2021-11-12 09:40:00,75.4
10MIN,2021-11-12 09:50:00,75.1
10MIN,2021-11-12 10:00:00,75.2
10MIN,2021-11-12 10:10:00,74.65
10MIN,2021-11-12 10:20:00,74.9
10MIN,2021-11-12 10:30:00,74.275
10MIN,2021-11-12 10:40:00,74.4
10MIN,2021-11-12 10:50:00,74.1
10MIN,2021-11-12 11:00:00,73.8
10MIN,2021-11-12 11:10:00,73.85
10MIN,2021-11-12 11:20:00,73.8
10MIN,2021-11-12 11:30:00,73.625
10MIN,2021-11-12 11:40:00,73.5
10MIN,2021-11-12 11:50:00,73.675
10MIN,2021-11-12 12:00:00,73.75
10MIN,2021-11-12 12:10:00,74.125
10MIN,2021-11-12 12:20:00,74.25
10MIN,2021-11-12 12:30:00,74.425
10MIN,2021-11-12 12:40:00,74.575
10MIN,2021-11-12 12:50:00,75.725
10MIN,2021-11-12 13:00:00,75.45
10MIN,2021-11-12 13:10:00,74.925
10MIN,2021-11-12 13:20:00,75.175
10MIN,2021-11-12 13:30:00,75.25
10MIN,2021-11-12 13:40:00,75.25
10MIN,2021-11-12 13:50:00,75.2
10MIN,2021-11-12 14:00:00,75.4
10MIN,2021-11-12 14:10:00,75.475
10MIN,2021-11-12 14:20:00,75.55
10MIN,2021-11-12 14:30:00,76
10MIN,2021-11-12 14:40:00,76.35
10MIN,2021-11-12 14:50:00,76.3
10MIN,2021-11-12 15:00:00,75.8
10MIN,2021-11-12 15:10:00,75.4
10MIN,2021-11-12 15:20:00,75.2
10MIN,2021-11-12 15:30:00,74.2
10MIN,2021-11-12 15:40:00,74.325
10MIN,2021-11-12 15:50:00,74.475
10MIN,2021-11-12 16:00:00,74.525
10MIN,2021-11-12 16:10:00,74
10MIN,2021-11-12 16:20:00,72.75
10MIN,2021-11-12 16:30:00,74.1
10MIN,2021-11-12 16:40:00,73.55
10MIN,2021-11-12 16:50:00,73.975
10MIN,2021-11-15 07:00:00,NULL
10MIN,2021-11-15 07:10:00,NULL
10MIN,2021-11-15 07:20:00,NULL
10MIN,2021-11-15 07:30:00,NULL
10MIN,2021-11-15 07:40:00,78
10MIN,2021-11-15 07:50:00,78.5
10MIN,2021-11-15 08:00:00,78
10MIN,2021-11-15 08:10:00,77.15
10MIN,2021-11-15 08:20:00,77.975
10MIN,2021-11-15 08:30:00,78.225
10MIN,2021-11-15 08:40:00,78.225
10MIN,2021-11-15 08:50:00,79.4
10MIN,2021-11-15 09:00:00,79.4
10MIN,2021-11-15 09:10:00,78.6
10MIN,2021-11-15 09:20:00,78.3
10MIN,2021-11-15 09:30:00,78.175
10MIN,2021-11-15 09:40:00,78.2
10MIN,2021-11-15 09:50:00,78.15
10MIN,2021-11-15 10:00:00,77.9
10MIN,2021-11-15 10:10:00,77.9
10MIN,2021-11-15 10:20:00,77.925
10MIN,2021-11-15 10:30:00,78.1
10MIN,2021-11-15 10:40:00,78
10MIN,2021-11-15 10:50:00,77.975
10MIN,2021-11-15 11:00:00,79.95
10MIN,2021-11-15 11:10:00,79
10MIN,2021-11-15 11:20:00,79
10MIN,2021-11-15 11:30:00,78.55
10MIN,2021-11-15 11:40:00,78.425
10MIN,2021-11-15 11:50:00,78.625
10MIN,2021-11-15 12:00:00,78.9
10MIN,2021-11-15 12:10:00,79.125
10MIN,2021-11-15 12:20:00,79.05
10MIN,2021-11-15 12:30:00,79
10MIN,2021-11-15 12:40:00,79.375
10MIN,2021-11-15 12:50:00,79.35
10MIN,2021-11-15 13:00:00,79.675
10MIN,2021-11-15 13:10:00,79.95
10MIN,2021-11-15 13:20:00,79.125
10MIN,2021-11-15 13:30:00,78.65
10MIN,2021-11-15 13:40:00,78.6
10MIN,2021-11-15 13:50:00,78.7
